transcript	theta_n1	theta_n2	half_life_rep1	half_life_rep2	mean_half_life
MKLN1	0.4140	0.4533	1.2970	1.1480	1.2225
MKNK1	0.2157	0.2626	2.8525	2.2752	2.5639
MKNK2	0.4573	0.4302	1.1342	1.2323	1.1832
MKRN1	0.6299	0.6581	0.6974	0.6459	0.6717
MKRN2	0.6103	0.6224	0.7356	0.7117	0.7237
MKRN3	0.3378	0.2433	1.6817	2.4863	2.0840
MLEC	0.2161	0.2537	2.8467	2.3689	2.6078
MLF2	0.1483	0.1414	4.3169	4.5454	4.4312
MLH1	0.1669	0.1601	3.7950	3.9739	3.8844
MLLT1	0.3258	0.4165	1.7584	1.2865	1.5225
MLLT10	0.6942	0.7247	0.5850	0.5373	0.5612
MLLT6	0.3014	0.4073	1.9327	1.3250	1.6288
MLX	0.5652	0.6672	0.8323	0.6301	0.7312
MLXIP	0.4476	0.4806	1.1678	1.0582	1.1130
MMAB	0.2551	0.2984	2.3539	1.9557	2.1548
MMADHC	0.1442	0.1858	4.4503	3.3712	3.9108
MMGT1	0.2707	0.3556	2.1957	1.5772	1.8864
MMP15	0.4973	0.5025	1.0079	0.9927	1.0003
MMS22L	0.5183	0.5343	0.9488	0.9070	0.9279
MND1	0.2447	0.2637	2.4701	2.2647	2.3674
MNT	0.4036	0.6370	1.3410	0.6839	1.0124
MOB1A	0.4770	0.4319	1.0693	1.2257	1.1475
MOB1B	0.6458	0.5459	0.6678	0.8781	0.7729
MOB3A	0.7316	0.7705	0.5270	0.4709	0.4990
MOB3B	0.5184	0.5348	0.9487	0.9058	0.9272
MOGS	0.3833	0.4595	1.4340	1.1265	1.2803
MON1B	0.6318	0.5967	0.6937	0.7634	0.7286
MON2	0.4002	0.4541	1.3560	1.1452	1.2506
MORC2	0.3497	0.3747	1.6109	1.4765	1.5437
MORC3	0.7039	0.6185	0.5695	0.7193	0.6444
MORF4L1	0.1966	0.2030	3.1671	3.0542	3.1106
MORF4L2	0.0968	0.1352	6.8098	4.7717	5.7908
MOV10	0.2508	0.2721	2.4007	2.1827	2.2917
MPHOSPH10	0.6405	0.5934	0.6775	0.7702	0.7238
MPHOSPH6	0.1565	0.2068	4.0722	2.9923	3.5323
MPHOSPH8	0.5034	0.5573	0.9902	0.8507	0.9204
MPHOSPH9	0.3855	0.4027	1.4233	1.3452	1.3842
MPP1	0.1009	0.1215	6.5175	5.3525	5.9350
MPP5	0.6838	0.6047	0.6020	0.7469	0.6745
MPP6	0.2597	0.3095	2.3051	1.8716	2.0883
MPRIP	0.2338	0.2371	2.6027	2.5614	2.5820
MPZL1	0.1618	0.1684	3.9285	3.7592	3.8439
MRE11	0.1256	0.1810	5.1657	3.4707	4.3182
MRFAP1	0.1485	0.1622	4.3116	3.9168	4.1142
MRFAP1L1	0.6043	0.6061	0.7477	0.7439	0.7458
MRGBP	0.4543	0.3293	1.1445	1.7351	1.4398
MRM2	0.6495	0.6790	0.6612	0.6100	0.6356
MRM3	0.6298	0.5820	0.6975	0.7947	0.7461
MRPL10	0.4177	0.3736	1.2819	1.4820	1.3819
MRPL14	0.2810	0.3591	2.1013	1.5583	1.8298
MRPL15	0.1920	0.2181	3.2508	2.8166	3.0337
MRPL16	0.1257	0.2036	5.1593	3.0444	4.1018
MRPL17	0.8466	0.7618	0.3697	0.4832	0.4265
MRPL18	0.1579	0.1693	4.0342	3.7379	3.8860
MRPL19	0.1716	0.2020	3.6810	3.0714	3.3762
MRPL2	0.1318	0.2230	4.9038	2.7478	3.8258
MRPL20	0.1813	0.2064	3.4652	2.9978	3.2315
MRPL21	0.1423	0.1231	4.5148	5.2786	4.8967
MRPL27	0.3223	0.2409	1.7816	2.5146	2.1481
MRPL28	0.1459	0.1328	4.3960	4.8640	4.6300
MRPL3	0.1483	0.1350	4.3181	4.7793	4.5487
MRPL32	0.2783	0.3771	2.1251	1.4644	1.7947
MRPL34	0.3741	0.2980	1.4793	1.9589	1.7191
MRPL35	0.3012	0.2887	1.9338	2.0345	1.9842
MRPL36	0.3468	0.3230	1.6277	1.7772	1.7024
MRPL37	0.1474	0.1248	4.3454	5.1977	4.7716
MRPL4	0.1340	0.1848	4.8192	3.3915	4.1053
MRPL40	0.0822	0.0819	8.0860	8.1134	8.0997
MRPL42	0.1237	0.1110	5.2501	5.8908	5.5705
MRPL44	0.6738	0.6610	0.6188	0.6408	0.6298
MRPL49	0.1451	0.2267	4.4212	2.6960	3.5586
MRPL50	0.4067	0.4460	1.3278	1.1738	1.2508
MRPL58	0.1809	0.2173	3.4739	2.8297	3.1518
MRPL9	0.1237	0.1399	5.2499	4.6006	4.9253
MRPS10	0.2599	0.1924	2.3026	3.2431	2.7729
MRPS11	0.2087	0.2822	2.9606	2.0901	2.5253
MRPS12	0.2246	0.2491	2.7246	2.4192	2.5719
MRPS15	0.0831	0.1010	7.9925	6.5107	7.2516
MRPS16	0.1768	0.2081	3.5627	2.9709	3.2668
MRPS18A	0.3428	0.3577	1.6513	1.5657	1.6085
MRPS18B	0.1838	0.2323	3.4124	2.6222	3.0173
MRPS18C	0.1570	0.1717	4.0594	3.6807	3.8700
MRPS2	0.4084	0.4121	1.3204	1.3048	1.3126
MRPS21	0.1302	0.1124	4.9705	5.8116	5.3911
MRPS22	0.2053	0.2550	3.0168	2.3551	2.6860
MRPS23	0.1693	0.1797	3.7377	3.4990	3.6183
MRPS25	0.2026	0.1899	3.0611	3.2913	3.1762
MRPS26	0.4510	0.4100	1.1558	1.3136	1.2347
MRPS27	0.1461	0.2006	4.3896	3.0961	3.7429
MRPS30	0.5398	0.5402	0.8932	0.8920	0.8926
MRPS31	0.2554	0.3449	2.3503	1.6385	1.9944
MRPS34	0.1832	0.1786	3.4248	3.5241	3.4744
MRPS35	0.1868	0.1844	3.3525	3.3999	3.3762
MRPS5	0.1619	0.1794	3.9246	3.5055	3.7151
MRPS7	0.1478	0.1540	4.3325	4.1454	4.2390
MRPS9	0.1409	0.1192	4.5625	5.4626	5.0126
MRRF	0.3414	0.3383	1.6598	1.6785	1.6692
MRS2	0.1834	0.1982	3.4208	3.1388	3.2798
MRTO4	0.1714	0.2003	3.6871	3.1018	3.3944
MSANTD4	0.8314	0.8692	0.3894	0.3408	0.3651
MSH2	0.1753	0.1906	3.5954	3.2778	3.4366
MSH3	0.2438	0.2103	2.4800	2.9365	2.7083
MSH6	0.3900	0.3839	1.4022	1.4310	1.4166
MSI2	0.2540	0.2764	2.3651	2.1424	2.2538
MSL1	0.5972	0.5969	0.7623	0.7629	0.7626
MSL2	0.8192	0.8271	0.4053	0.3950	0.4001
MSMO1	0.8399	0.8453	0.3784	0.3715	0.3749
MSN	0.0620	0.0748	10.8254	8.9214	9.8734
MTA1	0.1741	0.1961	3.6228	3.1763	3.3996
MTA2	0.2223	0.2094	2.7575	2.9504	2.8539
MTATP6P1	0.6087	0.5966	0.7388	0.7634	0.7511
MTCH1	0.1599	0.1993	3.9771	3.1179	3.5475
MTCL1	0.3993	0.5096	1.3598	0.9727	1.1662
MTCO1P12	0.5453	0.5605	0.8795	0.8432	0.8613
MTDH	0.1303	0.1603	4.9657	3.9665	4.4661
MTERF2	0.4606	0.5845	1.1227	0.7892	0.9560
MTERF4	0.7491	0.6951	0.5014	0.5836	0.5425
MTF1	0.9026	0.8702	0.2976	0.3395	0.3186
MTF2	0.7193	0.7084	0.5456	0.5625	0.5540
MTFR1	0.4455	0.4557	1.1755	1.1395	1.1575
MTG2	0.5507	0.4748	0.8663	1.0763	0.9713
MTHFD1	0.0786	0.0736	8.4636	9.0707	8.7672
MTHFD1L	0.2064	0.2530	2.9990	2.3763	2.6877
MTHFD2	0.4106	0.4696	1.3111	1.0930	1.2021
MTHFD2L	0.2623	0.3571	2.2780	1.5689	1.9234
MTHFR	0.4251	0.3720	1.2521	1.4902	1.3711
MTIF2	0.1485	0.1174	4.3108	5.5484	4.9296
MTMR1	0.2695	0.2897	2.2068	2.0261	2.1165
MTMR12	0.3833	0.4133	1.4339	1.2997	1.3668
MTMR14	0.2359	0.2141	2.5758	2.8777	2.7268
MTMR2	0.1551	0.2020	4.1125	3.0719	3.5922
MTMR3	0.7147	0.7085	0.5527	0.5623	0.5575
MTMR4	0.5213	0.3982	0.9408	1.3650	1.1529
MTND2P28	0.7698	0.7527	0.4719	0.4961	0.4840
MTO1	0.2125	0.2715	2.9011	2.1882	2.5446
MTOR	0.2152	0.2186	2.8606	2.8094	2.8350
MTPAP	0.7198	0.8357	0.5449	0.3838	0.4643
MTPN	0.1463	0.1479	4.3826	4.3314	4.3570
MTR	0.2124	0.2049	2.9036	3.0238	2.9637
MTRF1L	0.2239	0.3528	2.7348	1.5931	2.1640
MTRNR2L12	0.0339	0.0439	20.1031	15.4552	17.7792
MTRNR2L8	0.0691	0.0688	9.6736	9.7260	9.6998
MTRR	0.5227	0.4699	0.9372	1.0921	1.0147
MTSS1L	0.3143	0.3217	1.8367	1.7856	1.8112
MTX2	0.1810	0.2587	3.4713	2.3153	2.8933
MUL1	0.8565	0.8246	0.3571	0.3983	0.3777
MUM1	0.2440	0.3170	2.4780	1.8179	2.1480
MUS81	0.3647	0.4255	1.5282	1.2507	1.3894
MVD	0.1902	0.2234	3.2855	2.7421	3.0138
MXD1	0.7036	0.6900	0.5700	0.5919	0.5810
MYADM	0.5112	0.5036	0.9684	0.9898	0.9791
MYB	0.6750	0.6914	0.6166	0.5896	0.6031
MYBBP1A	0.1938	0.1804	3.2181	3.4842	3.3512
MYBL2	0.1220	0.1117	5.3268	5.8523	5.5896
MYC	0.8527	0.7985	0.3620	0.4326	0.3973
MYCBP2	0.3039	0.3359	1.9135	1.6933	1.8034
MYD88	0.4954	0.3772	1.0134	1.4639	1.2387
MYDGF	0.2324	0.2084	2.6209	2.9657	2.7933
MYH10	0.1087	0.1214	6.0225	5.3538	5.6881
MYH9	0.1161	0.1513	5.6160	4.2267	4.9213
MYL12A	0.1092	0.1287	5.9966	5.0323	5.5144
MYL12B	0.1000	0.0956	6.5803	6.8990	6.7396
MYLIP	0.7904	0.8499	0.4436	0.3655	0.4046
MYNN	0.8394	0.9231	0.3790	0.2702	0.3246
MYO16	0.3008	0.3157	1.9368	1.8271	1.8819
MYO18A	0.2644	0.2617	2.2571	2.2841	2.2706
MYO18B	0.5347	0.5024	0.9059	0.9930	0.9494
MYO19	0.4420	0.3997	1.1880	1.3584	1.2732
MYO1D	0.2020	0.1762	3.0722	3.5754	3.3238
MYO9A	0.5221	0.5535	0.9387	0.8597	0.8992
MYO9B	0.2425	0.2446	2.4956	2.4711	2.4833
MYRF	0.3019	0.3823	1.9290	1.4388	1.6839
MYSM1	0.6739	0.6463	0.6186	0.6670	0.6428
N4BP1	0.7700	0.7438	0.4716	0.5090	0.4903
N4BP2L2	0.5187	0.4969	0.9480	1.0089	0.9784
NAA11	0.6449	0.6552	0.6694	0.6510	0.6602
NAA15	0.2137	0.2474	2.8824	2.4385	2.6604
NAA16	0.6673	0.7583	0.6298	0.4881	0.5589
NAA25	0.3894	0.4075	1.4052	1.3243	1.3648
NAA35	0.2741	0.2813	2.1634	2.0985	2.1309
NAA40	0.4621	0.4651	1.1179	1.1080	1.1130
NAA50	0.2096	0.2438	2.9462	2.4808	2.7135
NAB1	0.6332	0.6819	0.6911	0.6052	0.6482
NABP1	0.8217	0.7842	0.4020	0.4520	0.4270
NACA	0.1044	0.1040	6.2859	6.3106	6.2983
NACC1	0.7215	0.6929	0.5422	0.5871	0.5647
NACC2	0.6981	0.6683	0.5787	0.6281	0.6034
NADK	0.2444	0.2453	2.4739	2.4630	2.4685
NAE1	0.0710	0.0945	9.4095	6.9812	8.1953
NAF1	0.3661	0.4631	1.5206	1.1144	1.3175
NAMPT	0.2171	0.2656	2.8314	2.2450	2.5382
NANS	0.1055	0.1069	6.2143	6.1308	6.1726
NAP1L1	0.0542	0.0519	12.4351	13.0038	12.7194
NAP1L4	0.1746	0.2070	3.6129	2.9879	3.3004
NAPA	0.2431	0.2309	2.4882	2.6402	2.5642
NAPG	0.3465	0.4439	1.6291	1.1812	1.4052
NARF	0.1420	0.1159	4.5243	5.6263	5.0753
NARS	0.1322	0.1788	4.8883	3.5181	4.2032
NASP	0.1475	0.1585	4.3444	4.0163	4.1804
NAT10	0.1805	0.1965	3.4830	3.1674	3.3252
NBAS	0.1784	0.1998	3.5271	3.1095	3.3183
NBEAL2	0.3210	0.3896	1.7904	1.4043	1.5974
NBN	0.3115	0.2568	1.8573	2.3353	2.0963
NBPF1	0.4220	0.4957	1.2644	1.0126	1.1385
NBR2	0.5080	0.5050	0.9773	0.9857	0.9815
NCAM2	0.3009	0.3555	1.9361	1.5778	1.7569
NCAPD2	0.1202	0.1125	5.4145	5.8087	5.6116
NCAPD3	0.2618	0.2595	2.2836	2.3068	2.2952
NCAPG	0.1663	0.1499	3.8112	4.2672	4.0392
NCAPG2	0.2281	0.2430	2.6774	2.4901	2.5838
NCAPH	0.3691	0.3401	1.5049	1.6678	1.5864
NCBP1	0.1101	0.1468	5.9400	4.3656	5.1528
NCBP2	0.2615	0.2712	2.2862	2.1908	2.2385
NCBP2-AS2	0.5682	0.6186	0.8253	0.7191	0.7722
NCBP3	0.4220	0.3770	1.2643	1.4650	1.3646
NCDN	0.2127	0.2921	2.8986	2.0066	2.4526
NCKAP1	0.3118	0.3073	1.8549	1.8875	1.8712
NCKAP5L	0.6856	0.6059	0.5990	0.7444	0.6717
NCL	0.1514	0.1675	4.2212	3.7798	4.0005
NCLN	0.2503	0.2779	2.4059	2.1292	2.2676
NCOA1	0.5404	0.5338	0.8916	0.9082	0.8999
NCOA2	0.7185	0.7842	0.5469	0.4520	0.4994
NCOA3	0.6394	0.6475	0.6795	0.6647	0.6721
NCOA4	0.2809	0.2794	2.1019	2.1153	2.1086
NCOA5	0.5026	0.4686	0.9925	1.0964	1.0444
NCOA6	0.7278	0.7123	0.5326	0.5563	0.5445
NCOA7	0.7299	0.7854	0.5295	0.4504	0.4900
NCOR1	0.1722	0.1745	3.6675	3.6136	3.6405
NCOR2	0.1994	0.2130	3.1171	2.8933	3.0052
NCR3LG1	0.2739	0.2658	2.1654	2.2429	2.2041
NCSTN	0.2927	0.2704	2.0017	2.1985	2.1001
NDC1	0.2127	0.1764	2.8991	3.5711	3.2351
NDC80	0.2374	0.2632	2.5573	2.2698	2.4136
NDE1	0.5314	0.5623	0.9144	0.8389	0.8766
NDEL1	0.5739	0.5197	0.8126	0.9453	0.8789
NDFIP1	0.1151	0.1442	5.6687	4.4497	5.0592
NDOR1	0.3717	0.4777	1.4916	1.0671	1.2793
NDST1	0.2688	0.3447	2.2137	1.6398	1.9268
NDUFA10	0.2019	0.2768	3.0737	2.1391	2.6064
NDUFA5	0.0891	0.0711	7.4273	9.4042	8.4157
NDUFA6	0.0976	0.1454	6.7528	4.4108	5.5818
NDUFAB1	0.1051	0.1063	6.2412	6.1703	6.2058
NDUFAF4	0.4426	0.4617	1.1859	1.1193	1.1526
NDUFAF5	0.4289	0.5113	1.2372	0.9682	1.1027
NDUFB10	0.0785	0.0969	8.4741	6.8004	7.6373
NDUFB9	0.0929	0.0848	7.1097	7.8242	7.4670
NDUFS1	0.1324	0.1367	4.8819	4.7149	4.7984
NDUFS2	0.0989	0.1267	6.6540	5.1152	5.8846
NDUFS5	0.0372	0.0619	18.3070	10.8403	14.5737
NDUFS6	0.1152	0.1142	5.6646	5.7162	5.6904
NDUFS7	0.1366	0.2216	4.7196	2.7676	3.7436
NDUFV1	0.0836	0.0961	7.9380	6.8626	7.4003
NDUFV3	0.4777	0.3971	1.0671	1.3697	1.2184
NEAT1	0.3512	0.4414	1.6022	1.1903	1.3962
NECAP2	0.2969	0.2342	1.9677	2.5974	2.2825
NECTIN2	0.2098	0.2934	2.9429	1.9955	2.4692
NEDD4L	0.4703	0.4633	1.0907	1.1139	1.1023
NEFH	0.4501	0.4099	1.1592	1.3142	1.2367
NEK1	0.2838	0.3215	2.0768	1.7874	1.9321
NEK2	0.2974	0.2833	1.9639	2.0813	2.0226
NEK6	0.3421	0.3923	1.6553	1.3916	1.5235
NEK7	0.5787	0.8048	0.8019	0.4242	0.6131
NELFA	0.5090	0.5333	0.9746	0.9095	0.9420
NELFB	0.2443	0.2020	2.4748	3.0724	2.7736
NELFCD	0.0969	0.1345	6.8035	4.8002	5.8019
NELFE	0.1312	0.1477	4.9287	4.3375	4.6331
NEMF	0.1767	0.1671	3.5641	3.7911	3.6776
NEMP1	0.2942	0.3040	1.9892	1.9125	1.9509
NEPRO	0.4396	0.5489	1.1970	0.8708	1.0339
NET1	0.7524	0.7761	0.4966	0.4632	0.4799
NETO2	0.5298	0.5397	0.9187	0.8935	0.9061
NEU1	0.2371	0.3110	2.5615	1.8610	2.2112
NEU3	0.7693	0.7227	0.4727	0.5404	0.5065
NF1	0.3171	0.2783	1.8175	2.1251	1.9713
NF2	0.3982	0.3995	1.3649	1.3590	1.3620
NFAT5	0.5385	0.6228	0.8965	0.7109	0.8037
NFATC1	0.6212	0.5783	0.7139	0.8027	0.7583
NFATC2	0.8306	0.8012	0.3904	0.4291	0.4098
NFATC2IP	0.3679	0.4349	1.5113	1.2143	1.3628
NFATC3	0.4747	0.4993	1.0766	1.0021	1.0393
NFE2	0.8221	0.8268	0.4015	0.3954	0.3984
NFE2L1	0.5120	0.5774	0.9660	0.8047	0.8854
NFE2L2	0.8655	0.8809	0.3455	0.3258	0.3356
NFIA	0.7663	0.6736	0.4768	0.6191	0.5479
NFIC	0.7396	0.7611	0.5152	0.4842	0.4997
NFIX	0.4740	0.4537	1.0788	1.1463	1.1126
NFKB1	0.6184	0.5287	0.7194	0.9215	0.8205
NFRKB	0.4151	0.4317	1.2922	1.2266	1.2594
NFX1	0.6616	0.6440	0.6397	0.6711	0.6554
NFYA	0.8370	0.8624	0.3821	0.3495	0.3658
NFYB	0.5011	0.4799	0.9968	1.0602	1.0285
NFYC	0.3598	0.4109	1.5544	1.3098	1.4321
NGDN	0.7506	0.7508	0.4991	0.4989	0.4990
NGLY1	0.2514	0.2324	2.3942	2.6212	2.5077
NHLRC2	0.6221	0.6922	0.7124	0.5883	0.6503
NIFK	0.4742	0.4720	1.0783	1.0855	1.0819
NIP7	0.5687	0.6184	0.8243	0.7195	0.7719
NIPA1	0.6742	0.7420	0.6180	0.5116	0.5648
NIPA2	0.1882	0.1789	3.3240	3.5168	3.4204
NIPBL	0.4101	0.3846	1.3134	1.4278	1.3706
NISCH	0.3864	0.4747	1.4191	1.0768	1.2479
NKIRAS2	0.3063	0.4286	1.8951	1.2387	1.5669
NKRF	0.8365	0.8218	0.3827	0.4018	0.3923
NKTR	0.5425	0.6088	0.8864	0.7386	0.8125
NLE1	0.4838	0.5283	1.0482	0.9225	0.9854
NLK	0.3372	0.3554	1.6852	1.5786	1.6319
NLN	0.1922	0.1939	3.2470	3.2162	3.2316
NLRP1	0.5727	0.6578	0.8153	0.6463	0.7308
NMD3	0.3381	0.4464	1.6798	1.1722	1.4260
NMRAL1	0.2482	0.2568	2.4291	2.3355	2.3823
NMT1	0.2665	0.2709	2.2363	2.1938	2.2151
NMU	0.0732	0.0631	9.1143	10.6416	9.8780
NNT-AS1	0.6199	0.6167	0.7166	0.7228	0.7197
NOA1	0.4935	0.5119	1.0191	0.9664	0.9927
NOB1	0.5584	0.6062	0.8481	0.7439	0.7960
NOC2L	0.0894	0.1099	7.3986	5.9520	6.6753
NOC3L	0.3041	0.4187	1.9119	1.2779	1.5949
NOCT	0.8799	0.8873	0.3270	0.3176	0.3223
NOL10	0.1514	0.1793	4.2236	3.5069	3.8653
NOL11	0.2772	0.2742	2.1354	2.1629	2.1491
NOL4L	0.7646	0.7930	0.4791	0.4400	0.4596
NOL6	0.2949	0.2344	1.9838	2.5957	2.2898
NOL7	0.1107	0.1170	5.9054	5.5686	5.7370
NOL8	0.3776	0.4186	1.4617	1.2781	1.3699
NOL9	0.2137	0.2531	2.8825	2.3752	2.6288
NOLC1	0.1932	0.1889	3.2282	3.3113	3.2698
NOM1	0.5906	0.5936	0.7760	0.7697	0.7729
NOMO2	0.2976	0.2129	1.9623	2.8961	2.4292
NONO	0.0800	0.0793	8.3119	8.3845	8.3482
NOP14	0.2609	0.2647	2.2929	2.2544	2.2737
NOP16	0.3845	0.3965	1.4284	1.3724	1.4004
NOP2	0.5882	0.6101	0.7812	0.7359	0.7586
NOP56	0.3680	0.3747	1.5107	1.4763	1.4935
NOP58	0.1681	0.1501	3.7650	4.2605	4.0128
NORAD	0.3601	0.3513	1.5528	1.6013	1.5770
NOS3	0.2777	0.2945	2.1305	1.9873	2.0589
NOTCH1	0.6547	0.6357	0.6519	0.6865	0.6692
NPAT	0.7141	0.8013	0.5536	0.4290	0.4913
NPC1	0.4719	0.5733	1.0857	0.8140	0.9498
NPEPPS	0.1470	0.1000	4.3594	6.5804	5.4699
NPHP4	0.5268	0.5739	0.9265	0.8125	0.8695
NPIPB5	0.5428	0.5199	0.8856	0.9446	0.9151
NPLOC4	0.3235	0.3438	1.7738	1.6450	1.7094
NPM1	0.0650	0.0752	10.3116	8.8618	9.5867
NPRL3	0.1673	0.1526	3.7858	4.1867	3.9862
NPTN	0.6403	0.6731	0.6779	0.6199	0.6489
NQO2	0.0901	0.1567	7.3410	4.0669	5.7039
NR1H2	0.7871	0.7129	0.4480	0.5554	0.5017
NR2C1	0.5431	0.6099	0.8850	0.7363	0.8107
NR2C2	0.6415	0.6438	0.6757	0.6715	0.6736
NR2F2	0.7274	0.7664	0.5333	0.4767	0.5050
NR2F2-AS1	0.6270	0.6830	0.7029	0.6034	0.6532
NR2F6	0.5075	0.5560	0.9787	0.8538	0.9163
NR3C1	0.8395	0.8347	0.3789	0.3851	0.3820
NR6A1	0.3487	0.3569	1.6165	1.5704	1.5935
NRAS	0.1651	0.1773	3.8424	3.5508	3.6966
NRBF2	0.8774	0.8361	0.3302	0.3833	0.3568
NRBP1	0.7527	0.7793	0.4961	0.4588	0.4775
NRDC	0.0774	0.0872	8.6085	7.5990	8.1037
NRDE2	0.7482	0.8051	0.5026	0.4238	0.4632
NRF1	0.6740	0.6531	0.6184	0.6547	0.6365
NRIP1	0.8042	0.6925	0.4250	0.5877	0.5064
NSA2	0.1011	0.1133	6.5044	5.7625	6.1335
NSD1	0.4984	0.4732	1.0046	1.0814	1.0430
NSD2	0.2557	0.2706	2.3477	2.1970	2.2724
NSD3	0.6256	0.5722	0.7055	0.8163	0.7609
NSDHL	0.3443	0.3097	1.6425	1.8701	1.7563
NSFL1C	0.2365	0.2384	2.5688	2.5453	2.5570
NSMAF	0.3302	0.3944	1.7292	1.3819	1.5556
NSMCE2	0.3614	0.2904	1.5456	2.0208	1.7832
NSMF	0.1531	0.1695	4.1721	3.7329	3.9525
NSRP1	0.4561	0.4477	1.1383	1.1676	1.1530
NSUN2	0.1763	0.2032	3.5728	3.0509	3.3119
NSUN4	0.6059	0.5469	0.7443	0.8755	0.8099
NSUN5	0.2138	0.2671	2.8812	2.2303	2.5558
NSUN6	0.5190	0.4735	0.9471	1.0804	1.0137
NT5C2	0.2114	0.1456	2.9187	4.4052	3.6620
NT5C3A	0.4504	0.4003	1.1581	1.3556	1.2569
NT5DC2	0.1295	0.0839	4.9963	7.9111	6.4537
NT5DC3	0.7554	0.7395	0.4922	0.5153	0.5038
NTMT1	0.2652	0.3433	2.2490	1.6483	1.9487
NUB1	0.1587	0.1623	4.0115	3.9140	3.9627
NUBP1	0.4385	0.4993	1.2010	1.0020	1.1015
NUCB1	0.0900	0.0820	7.3531	8.1027	7.7279
NUCKS1	0.0732	0.0696	9.1219	9.6099	9.3659
NUDC	0.1365	0.1447	4.7225	4.4352	4.5788
NUDCD3	0.2749	0.2616	2.1565	2.2857	2.2211
NUDT19	0.7932	0.8285	0.4398	0.3932	0.4165
NUDT21	0.2003	0.1743	3.1004	3.6195	3.3599
NUDT3	0.1230	0.0998	5.2817	6.5934	5.9375
NUDT4	0.6011	0.5523	0.7541	0.8625	0.8083
NUFIP2	0.8296	0.8385	0.3916	0.3801	0.3859
NUMA1	0.2576	0.2925	2.3270	2.0036	2.1653
NUMB	0.3893	0.5359	1.4057	0.9029	1.1543
NUMBL	0.6314	0.5988	0.6946	0.7590	0.7268
NUP107	0.0908	0.1553	7.2838	4.1068	5.6953
NUP133	0.1609	0.2022	3.9507	3.0687	3.5097
NUP153	0.6993	0.7355	0.5769	0.5213	0.5491
NUP155	0.1866	0.1736	3.3565	3.6349	3.4957
NUP160	0.2888	0.3113	2.0342	1.8584	1.9463
NUP188	0.1619	0.1635	3.9233	3.8838	3.9036
NUP205	0.1901	0.2044	3.2865	3.0317	3.1591
NUP210	0.1699	0.1615	3.7235	3.9352	3.8294
NUP214	0.2941	0.3210	1.9900	1.7903	1.8902
NUP35	0.6833	0.6703	0.6029	0.6247	0.6138
NUP43	0.1849	0.2335	3.3899	2.6066	2.9983
NUP50	0.4045	0.4537	1.3370	1.1465	1.2418
NUP54	0.4007	0.4683	1.3537	1.0973	1.2255
NUP58	0.5317	0.6228	0.9138	0.7109	0.8123
NUP85	0.3277	0.3399	1.7459	1.6690	1.7075
NUP88	0.2183	0.1961	2.8148	3.1759	2.9954
NUP93	0.1277	0.1967	5.0735	3.1639	4.1187
NUP98	0.4140	0.4073	1.2969	1.3250	1.3109
NUPL2	0.5364	0.4412	0.9016	1.1910	1.0463
NUS1	0.2817	0.2783	2.0952	2.1256	2.1104
NUSAP1	0.2769	0.2190	2.1379	2.8047	2.4713
NUTF2	0.1437	0.0974	4.4671	6.7613	5.6142
NUTM2A-AS1	0.3193	0.3454	1.8024	1.6355	1.7190
NUTM2B-AS1	0.5565	0.4502	0.8526	1.1588	1.0057
NVL	0.3151	0.2348	1.8313	2.5902	2.2108
NXF1	0.6094	0.5786	0.7373	0.8020	0.7697
OARD1	0.3885	0.3141	1.4092	1.8385	1.6238
OBSCN	0.2055	0.3013	3.0130	1.9333	2.4732
OCIAD1	0.1802	0.1354	3.4893	4.7658	4.1275
OCRL	0.6035	0.6131	0.7494	0.7300	0.7397
ODC1	0.0735	0.0949	9.0735	6.9540	8.0138
ODF2	0.1513	0.1659	4.2266	3.8204	4.0235
OFD1	0.2657	0.2819	2.2445	2.0929	2.1687
OGDH	0.1401	0.1281	4.5936	5.0574	4.8255
OGFOD1	0.2029	0.1865	3.0572	3.3576	3.2074
OGFOD3	0.2690	0.3299	2.2121	1.7313	1.9717
OGFR	0.5126	0.5864	0.9644	0.7851	0.8747
OGT	0.3012	0.3457	1.9343	1.6340	1.7841
OIP5-AS1	0.3499	0.4156	1.6095	1.2905	1.4500
OLA1	0.0910	0.1101	7.2683	5.9418	6.6050
ONECUT2	0.4886	0.5145	1.0337	0.9592	0.9965
OPA1	0.1419	0.1435	4.5309	4.4756	4.5032
OPA3	0.5669	0.5497	0.8284	0.8688	0.8486
OPLAH	0.4667	0.4371	1.1026	1.2061	1.1543
ORC1	0.5112	0.5329	0.9683	0.9105	0.9394
ORC2	0.3095	0.3005	1.8720	1.9395	1.9057
ORC6	0.6744	0.7145	0.6177	0.5530	0.5854
OSBP	0.5064	0.5430	0.9818	0.8851	0.9334
OSBP2	0.2519	0.2653	2.3879	2.2483	2.3181
OSBPL2	0.3255	0.5032	1.7600	0.9907	1.3753
OSBPL3	0.3606	0.3131	1.5500	1.8455	1.6978
OSBPL6	0.5291	0.4046	0.9203	1.3368	1.1285
OSBPL8	0.1651	0.1730	3.8420	3.6484	3.7452
OSBPL9	0.0991	0.0989	6.6429	6.6572	6.6500
OSGIN2	0.5152	0.6922	0.9575	0.5883	0.7729
OSTC	0.0730	0.1101	9.1477	5.9443	7.5460
OTUD3	0.8347	0.8009	0.3851	0.4294	0.4073
OTUD4	0.7072	0.7363	0.5644	0.5200	0.5422
